FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE,FLASH_DENSITY,POP_DENSITY
151117,59.2683,-133.8053,2019,7,26,0.35,H,H,0.0068626296508641,282.15243014047763,0.0241069850147041,0.1223586775581719,18.43293555406624,1.1361847577768578,284.70125488751563,0.6807249274293941,77.7894057787957,30.95790145666336,2.858378373606281e-05,1.829998816382855,0.963009431498869,181.9205421144424,21.250389122659463,0.2686190729526949,,0.0,0.0
151118,59.0517,-133.0075,2019,7,27,0.9,N,N,0.0073847127935923,283.38693267666014,0.0174549193002402,0.1355163296478811,18.60278195201875,1.820227071517498,286.1407215982178,0.6356284970995426,90.85129654909063,32.538117406758104,2.42971932914501e-05,2.0940042378568644,0.964084814407444,195.27556359396976,26.31476398105009,0.2425775778731941,,0.0014816067123427,0.0
151119,59.9188,-134.9413,2019,6,27,0.009,N,N,0.0078641391861643,285.4535167710625,0.0394219148239144,0.0641459261548874,15.735431347960423,1.7642697155662936,282.35917239027344,0.7395045254754802,84.51711571045301,34.637849050950635,4.08649950394412e-05,0.9880350307928104,0.9367530735076978,193.1711467743416,10.026555879334053,0.3008198062661255,,0.0001460049481838,0.0
151120,59.4301,-134.3715,2019,7,6,1197.0,N,N,0.0096974164919261,290.03382175969733,0.0054026484684585,0.0511507598273195,20.450523878516552,1.679003355205582,284.6391949692969,0.7039818703791704,77.36125336089322,28.15533679627903,2.991695996909769e-05,1.515623955474951,0.958955280537634,172.42247655246365,14.23871446374307,0.2775332454281896,,0.0009129183131612,0.0
151176,58.2006,-121.3412,2019,5,12,0.75,N,N,0.005208019634909,283.2888951575703,0.0101286807462163,0.0535475216577444,11.715107751305666,0.0401956652492102,282.9307460348945,0.6197443592088322,69.20767913790526,57.9791177142422,6.897803688844219e-06,1.5936473818928372,0.9450643303982696,220.08151971547068,30.10114127321649,0.2718352348675463,,0.0108525796780508,0.0
151177,58.1838,-120.5152,2019,5,12,17.0,N,N,0.0053960050242733,283.6722886553281,0.016165025896487,0.05019226088072,12.148338301869382,0.0236270061119683,282.77606867512105,0.6082983516441345,68.16667121284422,57.94685384709085,6.41974442275188e-06,1.6004720243717347,0.9452910960925522,220.64369314255472,30.035322808977764,0.267125981846632,,0.0050781452854162,0.0
151178,58.2116,-121.2908,2019,5,12,0.2,N,N,0.0052171607987531,283.3156178598125,0.0104128004526786,0.0536147185973968,11.769985168665032,0.0421272558866101,282.93799806110155,0.6177598652098082,69.11958703067386,57.960769679898426,6.8258629348212736e-06,1.5913766419867863,0.9449516524207152,220.0158418514727,30.21756782862065,0.2709403395951537,,0.0076546457124646,0.0
151179,58.1937,-121.427,2019,5,12,0.5,U,U,0.0051888695898947,283.235512094082,0.0097066431823582,0.0535988542620849,11.639977390931088,0.0384817441570623,282.92142858417,0.6228744289724357,69.29583924574585,57.983481642821054,7.023624954699074e-06,1.5951943500822832,0.9451425020259094,220.07450783192385,29.862367520193416,0.2733341450867561,,0.004895560256248,0.0
151180,58.2048,-120.4293,2019,5,20,650.0,N,N,0.0048153678898376,286.0168228056719,0.003275779791148,0.0002751996558797,8.372205059158686,0.0040957073670143,282.75433382884376,0.604352523575211,67.13768326778333,58.86379716120008,6.410219407426429e-06,1.595559775542664,0.9450613000621948,220.79090225094137,29.27706783939755,0.2658632097388231,,0.0,0.0
151181,58.0959,-120.6209,2019,6,16,5.0,N,N,0.0080348469611473,291.88308473840624,0.0006124797229736,0.0123703935006913,18.442451443949544,0.0203051083444874,285.71657491140627,0.6484965842272588,85.49133276949271,48.70529668075229,4.8605468925207136e-05,2.6174652160083234,0.9666312575050316,205.0539077373618,41.30977224120523,0.274086007910789,,0.0042986216757687,0.0
151182,58.5378,-120.3458,2019,5,11,0.2,N,N,0.0058289298572601,286.1685242604141,0.0219172132121884,0.0126167673807222,15.78641390200391,0.018497718711028,283.04804525514845,0.5784837916014859,60.7050771186899,64.14194686601323,6.66785239731946e-06,1.5495299145556944,0.9427457949899216,219.9298193472559,24.72551271019625,0.2568727811082572,,0.000315094395533,0.0
151183,58.3403,-120.1338,2019,5,14,28.2,N,N,0.0040879434817795,280.62735211104297,0.0003841885189654,0.027778314896987,9.949532843579282,0.2670291200104825,282.85903912679294,0.5809344396118169,61.44959550081553,64.11595381594863,6.46831425374179e-06,1.57322305166037,0.9439559135767136,221.58258720995016,25.123513233123127,0.2577777067696535,,0.000416062673663,0.0
151184,59.0344,-122.446,2019,5,15,0.009,H,H,0.0037917645596319,281.0113030252344,0.003505990000875,0.017155838170371,8.862725097534177,0.0297116781297416,283.4192817923437,0.5778779808470152,59.19543611656248,65.61144853762697,5.253220015702532e-06,1.5030062690496826,0.9409423979113768,219.15989883390623,22.72288511924804,0.2568385589566039,,0.0,0.0
151185,59.3424,-122.4658,2019,6,17,13.5,N,N,0.0098682875650753,291.56991804728125,0.0164808867345514,0.1226055557056121,26.91751120572364,0.0539818140093335,285.63077645435936,0.6249377818322445,76.26102130892181,55.086935553556735,3.887056074642008e-05,2.664769948030029,0.9663156336705628,202.51989289322665,35.241779315589795,0.2662808679180449,,0.0006821095997927,0.0
151186,59.3491,-122.781,2019,6,17,0.3,N,N,0.0097860093998855,291.2185097077344,0.0172898963267511,0.1233865746763205,26.627291548477167,0.0739473212597551,285.5985425830469,0.6344762833456995,78.75619491056646,51.60354815510368,3.81483420306316e-05,2.703448107667771,0.9665375196015168,200.75301976455563,37.11193058090824,0.2704924008261014,,0.0016320225872615,0.0
151187,58.8678,-122.1991,2019,6,17,0.3,N,N,0.009904877934561,292.31530645135746,0.0174987780204679,0.1098366850763131,27.00364856734058,0.0746064549631808,286.1572319706758,0.6055309139226229,74.13662347062603,59.58911119648649,3.212051502781359e-05,2.5893678154452213,0.965654368749611,207.7654944182705,33.78091308979695,0.2621331167277804,,0.0,0.0
151188,58.867,-122.203,2019,6,17,0.009,N,N,0.009904771273911,292.3158238310547,0.0175146624975085,0.1098369801870583,27.00349929685058,0.0749662411442479,286.1604659730469,0.6054686151062013,74.12116730366213,59.61142507343747,3.209414928368061e-05,2.589216188722229,0.9656512944749832,207.77999428789064,33.75903838155517,0.2621112918198586,,0.0,0.0
151189,58.827,-122.495,2019,6,18,0.009,N,N,0.0085793459926843,288.9528185595703,0.0288600095080435,0.096725482302904,22.67268283618164,0.0343042217359592,286.3499538925781,0.603577933181763,73.30025782885747,60.811345536376905,3.0058984023111403e-05,2.578820982307433,0.965447335644722,208.57730572949217,32.41928793585206,0.2617022392268182,,0.0093753232637469,0.0
