FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
146073,59.525,-124.27,2014,7,15,1.7,N,N,0.0115445572100579,294.1760244140625,0.0438856394037604,0.069264648,26.79092259826661,0.1060607718979909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146088,59.9022,-133.8075,2014,6,16,0.2,H,H,0.005335163,281.8024541886719,0.008846075,0.065870048,11.507807306854245,0.8548632212689967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146091,59.723,-129.422,2014,7,15,3.7,N,N,0.009103735,287.4153638923828,0.0194140773149937,0.072554718,19.945728357867434,0.3787931621307157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146092,58.2855,-120.4127,2014,5,30,0.1,N,N,0.006580175,287.1123342991064,0.0148409766907018,0.070962703,17.11424826714783,0.1111892145048777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146093,58.0957,-121.0927,2014,6,24,5.4,N,N,0.009910863,292.1908617010625,0.0134624966549127,0.0199630847081673,20.447031782087823,0.004838248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146094,58.7748,-122.852,2014,5,18,0.3,H,H,0.006331141,285.10690326789063,0.021108334,0.087135476,15.481779076572264,0.1050396371910474,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146095,58.7743,-122.9652,2014,5,30,1.0,N,N,0.007362369,286.7560832663672,0.0244214110591384,0.054969403,17.705323408796872,0.0405273226269722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146096,58.3407,-120.1389,2014,5,27,5.1,N,N,0.006103018,287.26975867440524,0.0280804583311281,0.047737864,14.568623399637968,0.2193730861026122,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146097,58.5609,-120.4227,2014,5,30,0.2,N,N,0.006492132,287.3628203608799,0.0135612774875103,0.066747699,17.36612576763087,0.1661292197214704,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146098,59.108,-122.3743,2014,5,30,0.6,N,N,0.00728099,286.74977126976563,0.018220823,0.066122892,18.34702613913576,0.084152196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146099,59.1813,-122.5017,2014,6,28,0.3,N,N,0.008767781,292.85308769123145,0.0260207343922248,0.046172318,21.650709850643064,0.1248036895454063,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146100,58.897,-121.8393,2014,6,24,0.9,N,N,0.010110646117013,292.7830350834863,0.010837874,0.0178873145326223,20.56546869472656,0.0269784580731099,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146101,59.1615,-122.3106,2014,6,12,1.9,N,N,0.007241131,288.1883982905078,0.0338697114224892,0.069906719,17.52538271821777,0.1219490176348803,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146102,58.5655,-122.8535,2014,7,14,0.036,N,N,0.0120436288732104,295.4795391844727,0.002713616,0.001910769,25.12849541466828,0.065530694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146103,58.9968,-122.7329,2014,7,29,0.009,N,N,0.009387647,294.13366486681247,0.005244233,0.031066183,24.351951740720217,0.055948766,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146104,58.9416,-122.7197,2014,7,29,0.009,N,N,0.009390799,294.00486043071874,0.005160545,0.0306500671991659,24.28016173683838,0.062156922,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146105,58.7933,-120.9492,2014,7,29,36.7,N,N,0.009919785,293.4006977492656,0.002736646,0.0106829432944735,23.73088251020153,0.1315338120784825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146106,59.1142,-122.4696,2014,7,28,1.7,N,N,0.008922668,293.2963830661289,0.010698805090532,0.0272080959484259,24.41020309177564,0.2141328583643811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146107,59.119,-122.4753,2014,7,29,0.009,N,N,0.009253116,293.8949309820801,0.005065681,0.0228462238354251,24.242450016358035,0.064855049,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146108,58.5357,-122.9517,2014,7,29,0.4,N,N,0.00949851,292.6690782448555,0.005508933,0.033472397,23.53090137519348,0.126101099670902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146109,59.0167,-122.4333,2014,7,29,0.009,N,N,0.009209673,294.08705527367675,0.004490147,0.023926471,24.286568887412905,0.060845273,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146110,58.958,-122.0229,2014,7,29,0.2,N,N,0.009488875,293.55514239498046,0.003786984,0.019926754,23.940648949475104,0.078530626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146111,58.8046,-122.8244,2014,8,15,0.81,N,N,0.0110742475906591,293.7119376499961,0.001720241,0.0184517341277716,32.82678290190332,0.076749507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146112,58.3817,-122.805,2014,8,15,0.2,N,N,0.0113618974419325,293.48887952333985,0.001820286,0.0174711163279295,32.56059242191772,0.022884698707333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146158,56.8007,-125.7188,2014,6,1,33068.0,N,N,0.005418044,281.00775536318355,0.003845807,0.0211549222050502,11.0173565721748,0.5359247762686405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146159,56.5019,-125.2364,2014,8,5,71.7,N,N,0.009270153,288.5950947829023,0.0362734564638411,0.05306344,21.43754258860375,0.3545210677618315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
