FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,DATE,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
148438,BC-2013-2013-K40683,BC, ,2013-K40683, ,50.7205,-118.3595,2013,8,12,2013-08-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091651107082486,290.06050892307127,0.039361981808418,0.0230663032915353,19.659501095578,0.4085451435021536,,,,,,,,,,,
148439,BC-2013-2013-K40684,BC, ,2013-K40684, ,50.8201,-118.4932,2013,8,12,2013-08-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091691999788036,290.2902585901973,0.0364102750908392,0.0217543782710524,19.833586987694343,0.4269643627317122,,,,,,,,,,,
148440,BC-2013-2013-K40689,BC, ,2013-K40689, ,50.603,-118.2974,2013,8,12,2013-08-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091996015712404,289.9900401801953,0.0429735195472169,0.0249950414423894,19.70603461594481,0.4030964708282487,,,,,,,,,,,
148441,BC-2013-2013-K40690,BC, ,2013-K40690, ,50.5981,-118.264,2013,8,12,2013-08-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0092156083267974,289.88153268768554,0.0435366770421779,0.0251906510167264,19.62470568671141,0.4027992325460532,,,,,,,,,,,
148442,BC-2013-2013-K40704,BC, ,2013-K40704, ,50.4374,-118.6467,2013,8,12,2013-08-12 00:00:00,,,1.5,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0090231034149907,291.2666531358008,0.0411529066963388,0.0258892896322377,20.75551041290856,0.379267148043182,,,,,,,,,,,
148443,BC-2013-2013-K40707,BC, ,2013-K40707, ,50.576,-118.8652,2013,8,14,2013-08-14 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0078445552288103,292.76486580765624,0.0139909467756509,0.0060090323277401,17.503067486308595,0.3972993326486259,,,,,,,,,,,
148458,BC-2013-2013-C40192,BC, ,2013-C40192, ,51.4143,-122.1638,2013,8,3,2013-08-03 00:00:00,,,6.4,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0094130896365315,289.858225224834,0.0215533274749752,0.091389949601999,22.51009306311132,0.0895266877073614,,,,,,,,,,,
148459,BC-2013-2013-C20012,BC, ,2013-C20012, ,51.9141,-122.5301,2013,4,22,2013-04-22 00:00:00,,,300.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.002423704688589,273.72890354185745,3.287272069584172e-05,0.000261429111532,3.5607007320978123,0.0371369879347869,,,,,,,,,,,
148460,BC-2013-2013-C20015,BC, ,2013-C20015, ,51.9841,-122.6321,2013,4,22,2013-04-22 00:00:00,,,1.7,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0024404414890197,274.00174909131056,2.2055620474392143e-05,0.0001310622036052,3.60006110515995,0.060375596442214,,,,,,,,,,,
148461,BC-2013-2013-C20025,BC, ,2013-C20025, ,52.0067,-122.4767,2013,4,25,2013-04-25 00:00:00,,,438.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0051079752184798,279.8305040828057,0.0030182285263604,0.0185959963765909,11.951437082104922,0.0498070558298029,,,,,,,,,,,
