FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
155942,BC-2015-2015-N60321,BC, ,2015-N60321, ,49.0167,-118.8966,2015,7,10,2015-07-10 00:00:00,,,0.48,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0092845584445076,298.4734740250332,0.0104318746309421,0.0456363017843031,24.8310977132737,0.0649860873722332,291.8280204220449,0.3561463750955813,69.69615123734353,110.8197335930353,7.461170923771017e-06,3.9552705321472392,0.9744633457753296,277.6745669174238,35.24829188788336,0.1502707221807644,
155943,BC-2015-2015-N60423,BC, ,2015-N60423, ,49.0382,-118.2401,2015,7,20,2015-07-20 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0084735260993624,298.50895237592187,0.0155726611852535,0.0306166530735567,24.061142525328744,0.2059842702773771,292.4465755743672,0.3078895791790693,68.21122112760192,110.51944557693488,7.812986997000723e-06,4.606430388890334,0.9786824470750886,275.454407661246,34.429010955102854,0.1311974898892468,
155944,BC-2015-2015-N60430,BC, ,2015-N60430, ,49.0002,-118.7288,2015,7,20,2015-07-20 00:00:00,,,0.005,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.009261067294281,297.12757018612496,0.0169252770161481,0.0312537690500116,24.36930489115284,0.1852073707742262,291.52255523441016,0.3441875165340391,73.2139418676456,108.7378111594648,7.275179467742326e-06,4.154838777085687,0.9761395752133788,277.68743169774217,39.45062277544394,0.143476810063101,
155945,BC-2015-2015-N60469,BC, ,2015-N60469, ,49.0111,-119.1038,2015,7,20,2015-07-20 00:00:00,,,0.8,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0094048440029419,297.52985942139065,0.0176784032881766,0.0253655544394616,25.100806457580823,0.2809888453636618,292.4796142529356,0.3635066373142777,62.08904473707,115.89416684276584,7.347958216978253e-06,3.693634426595114,0.97205060398114,277.68960168700977,26.96571279402829,0.1567189826061946,
155946,BC-2015-2015-N60584,BC, ,2015-N60584, ,49.0724,-119.0086,2015,8,13,2015-08-13 00:00:00,,,4417.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0071222255364184,297.56298606330466,0.0014896944789592,0.0006020245467237,18.673066841636228,0.4276093495428263,290.1649219177422,0.3339686169566959,37.96156347866904,79.05968199220307,7.484694534454388e-06,4.434322623948731,0.9589878687483674,204.0200605780117,12.260027768909993,0.1461752994881936,
155947,BC-2015-2015-N60597,BC, ,2015-N60597, ,49.035,-119.0918,2015,8,14,2015-08-14 00:00:00,,,0.015,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0072962460046112,295.3006371917969,0.0007349924713559,0.0049603758159979,19.366292022644053,0.1970024624832375,290.4916362920899,0.3361594758823396,35.983934847131174,80.30859785126964,6.80362663660047e-06,4.258674519223008,0.958221539139366,204.3032410977051,10.111123206344413,0.1482588757807256,
155948,BC-2015-2015-N60625,BC, ,2015-N60625, ,49.0479,-118.4925,2015,8,14,2015-08-14 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0071028026351492,296.1796000583496,0.0009290746579713,0.0057269731815729,19.550569031542963,0.2758987250806443,290.37856503415526,0.2877419445207359,34.92655464184716,81.64533440930178,8.185699008807565e-06,5.082777952193824,0.9601838698031424,203.29872690979,11.506326212647934,0.1258518899996937,
155949,BC-2015-2015-N60681,BC, ,2015-N60681, ,49.0279,-118.5962,2015,8,17,2015-08-17 00:00:00,,,0.002,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0060752886122826,290.40229855408984,0.0182965571225852,0.0207057699530873,16.84114625867462,0.2486604223420823,290.247371159623,0.2914782387890886,34.3046307766742,81.73064241205303,8.143224655985509e-06,4.938770207910971,0.9597034556853944,202.47266079880367,10.635410477346433,0.1277426654096908,
157719,BC-2015-2015-R80104,BC, ,2015-R80104, ,54.229,-130.2852,2015,3,15,2015-03-15 00:00:00,,,3.7,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0031743600433294,274.5808613534375,0.0035935767126105,0.0578834061942552,5.606238435039067,1.1580729848850952,276.9811623378516,0.8770676790011978,34.7685674036597,-3.8023485343687,8.794178631446323e-05,0.6387162038174999,0.5736513233733727,77.68777845493656,2.610575174950485,0.4021536461655235,
157780,BC-2015-2015-V70254,BC, ,2015-V70254, ,48.8843,-125.0262,2015,7,2,2015-07-02 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0105249080047502,293.0181711083047,0.0009222505606654,0.0,17.310554229228384,0.8033558508673506,,0.6088077126372151,,,,,,,,,
157794,BC-2015-2015-V30065,BC, ,2015-V30065, ,49.4388,-123.2363,2015,5,18,2015-05-18 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0084513763061636,288.2281606711563,0.0261192399316364,0.1049846080727901,21.733306363749502,0.1068200013885268,285.37047673059374,0.7254587861661682,95.01251174216796,55.5381376796831,1.1961941398034286e-05,2.325745691927948,0.9621462722151792,220.8581157089395,50.38565922809863,0.2947509949269962,
157795,BC-2015-2015-V30178,BC, ,2015-V30178, ,49.4844,-123.2495,2015,6,16,2015-06-16 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0080885683676201,290.80530525835934,0.0105911108894935,0.0062447594220343,15.363707773123773,0.3010166157303459,288.87362788593754,0.6407773195729427,129.91419312564952,65.45800126935063,1.0614464080168388e-05,2.994431114093944,0.9712522312293626,275.55112095562515,83.99199946626487,0.2527838581740563,
157889,BC-2015-2015-V60260,BC, ,2015-V60260, ,48.9578,-123.5331,2015,7,3,2015-07-03 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0113015794252769,295.64537733819725,0.0071232490271058,0.0001723175174973,22.48780593682177,1.130623972733658,294.1796917913887,0.4022591069643357,104.40912411019768,66.75710647356925,9.601798217030334e-06,4.788704139356802,0.955071899821879,260.3180018460761,74.83247414817538,0.166449475084244,
157940,BC-2015-2015-V50086,BC, ,2015-V50086, ,49.4657,-123.9628,2015,5,21,2015-05-21 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0091804554090004,291.7571496252324,0.0077399863109326,0.0062695014435862,21.821168376616093,0.5409497416073897,286.5820790169317,0.6054766314239552,116.06622939117348,41.65614043369002,1.0125198469361214e-05,3.0841879138131074,0.9666087457861978,230.4053376304827,69.485095691629,0.2501216815085542,
157941,BC-2015-2015-V50097,BC, ,2015-V50097, ,50.0122,-124.8208,2015,5,24,2015-05-24 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0086097581649507,288.1141967244258,0.003395453018408,0.1092616089605097,18.85788059429932,0.1835014296197767,286.15190868383206,0.6500936595947178,110.75308143049124,48.53328681927067,1.1024865666559895e-05,2.768375032930217,0.96217539386068,234.81301766139867,67.52781345360916,0.2654232334234422,
158049,BC-2015-2015-V70014,BC, ,2015-V70014, ,49.3194,-124.2706,2015,5,6,2015-05-06 00:00:00,,,0.01,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0053435395015703,282.332429871168,0.0072655518136882,0.0387808891262455,11.121018657893192,0.8573476956362998,286.536855205168,0.5839431183708874,121.07808328505774,37.19396081656829,9.653321903308145e-06,3.7982705169454354,0.9716439150208208,230.2657939052013,78.03032168357917,0.2388036434450243,
158063,BC-2015-2015-V10208,BC, ,2015-V10208, ,49.3653,-123.2743,2015,6,23,2015-06-23 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0082290396818543,289.19714924866406,0.0048497250988762,0.0046220270145719,18.74986064886829,0.598453624149174,289.59739530308593,0.6271956567904377,130.14156254546214,64.93017471553776,9.39013273554493e-06,3.196499260134387,0.9731271647848682,277.2228763170975,86.32310693496099,0.2478843992991898,
198757,AB-2015-MWF036,AB, ,MWF036, ,59.122133,-111.158783,2015,6,6,2015-06-06 00:00:00,,2015-06-06 00:00:00,0.01,N,N,Surface, , , ,fueltype: C3, , ,2020-06-01 00:00:00,0.008329496179618,294.58128711996363,0.0064687455182603,0.0263600296504006,22.28257481684156,0.3591087485441513,289.464402360912,0.3623038384015598,51.75891617138383,76.84983433979764,1.3480495669169568e-05,2.229628994271911,0.9604385641812828,225.4462890462623,19.4710129743387,0.1504823886480631,
